max_depth,min_samples_split,min_samples_leaf,mean_test_score
9,15,1,0.9603758169934641
5,9,8,0.9538398692810456
11,10,14,0.9473039215686274
5,12,18,0.9473039215686274
4,6,16,0.9473039215686274
3,11,17,0.9473039215686274
2,5,18,0.9473039215686274
14,9,5,0.9607843137254902
14,17,1,0.9603758169934641
9,2,11,0.9473039215686274
7,5,14,0.9473039215686274
6,13,11,0.9473039215686274
12,15,6,0.9538398692810456
17,3,11,0.9473039215686274
3,5,10,0.9473039215686274
3,6,8,0.9538398692810456
10,14,16,0.9473039215686274
16,12,4,0.9607843137254902
7,5,3,0.9607843137254902
14,19,17,0.9473039215686274
5,18,2,0.9538398692810456
10,10,19,0.9473039215686274
19,8,14,0.9473039215686274
17,17,6,0.9538398692810456
3,10,19,0.9473039215686274
7,5,16,0.9473039215686274
9,10,7,0.9538398692810456
3,11,13,0.9473039215686274
4,11,5,0.9607843137254902
11,9,4,0.9607843137254902
2,10,3,0.9473039215686274
12,6,16,0.9473039215686274
10,6,13,0.9473039215686274
14,13,20,0.9473039215686274
11,15,7,0.9538398692810456
9,2,2,0.9538398692810456
9,3,10,0.9473039215686274
8,11,18,0.9473039215686274
6,9,6,0.9538398692810456
6,10,15,0.9473039215686274
5,9,19,0.9473039215686274
7,17,9,0.9473039215686274
13,12,8,0.9538398692810456
19,12,19,0.9473039215686274
12,5,5,0.9607843137254902
9,16,5,0.9607843137254902
12,9,16,0.9473039215686274
2,19,9,0.9473039215686274
19,10,9,0.9473039215686274
4,15,9,0.9473039215686274
17,7,2,0.9538398692810456
11,13,9,0.9473039215686274
11,15,12,0.9473039215686274
13,9,7,0.9538398692810456
8,16,11,0.9473039215686274
17,8,13,0.9473039215686274
16,18,20,0.9473039215686274
11,14,15,0.9473039215686274
19,11,9,0.9473039215686274
15,6,4,0.9607843137254902
13,13,19,0.9473039215686274
5,8,9,0.9473039215686274
7,11,9,0.9473039215686274
14,10,12,0.9473039215686274
16,15,16,0.9473039215686274
18,18,3,0.9607843137254902
2,14,12,0.9473039215686274
11,14,7,0.9538398692810456
11,10,13,0.9473039215686274
2,7,10,0.9473039215686274
12,19,2,0.9538398692810456
8,19,4,0.9607843137254902
16,10,16,0.9473039215686274
12,12,15,0.9473039215686274
6,16,10,0.9473039215686274
7,5,5,0.9607843137254902
9,18,19,0.9473039215686274
16,11,8,0.9538398692810456
3,2,17,0.9473039215686274
18,11,16,0.9473039215686274
3,14,4,0.9607843137254902
3,11,5,0.9607843137254902
12,2,13,0.9473039215686274
5,13,7,0.9538398692810456
17,14,10,0.9473039215686274
16,17,10,0.9473039215686274
19,7,6,0.9538398692810456
3,13,5,0.9607843137254902
12,5,8,0.9538398692810456
10,11,8,0.9538398692810456
11,12,2,0.9538398692810456
7,8,8,0.9538398692810456
12,9,10,0.9473039215686274
5,17,2,0.9538398692810456
14,9,10,0.9473039215686274
4,6,15,0.9473039215686274
17,8,10,0.9473039215686274
16,13,3,0.9607843137254902
2,5,17,0.9473039215686274
8,6,3,0.9607843137254902
7,8,7,0.9538398692810456
11,9,11,0.9473039215686274
7,15,2,0.9538398692810456
6,6,13,0.9473039215686274
18,8,12,0.9473039215686274
15,13,4,0.9607843137254902
3,5,16,0.9473039215686274
12,10,3,0.9607843137254902
9,6,3,0.9607843137254902
9,8,6,0.9538398692810456
9,13,3,0.9607843137254902
14,9,9,0.9473039215686274
9,7,10,0.9473039215686274
16,14,3,0.9607843137254902
5,6,14,0.9473039215686274
12,11,3,0.9607843137254902
10,6,3,0.9607843137254902
9,8,7,0.9538398692810456
12,9,8,0.9538398692810456
8,14,3,0.9607843137254902
10,7,9,0.9473039215686274
16,8,9,0.9473039215686274
16,15,3,0.9607843137254902
9,7,9,0.9473039215686274
11,11,3,0.9607843137254902
11,8,6,0.9538398692810456
12,9,9,0.9473039215686274
14,9,11,0.9473039215686274
11,8,8,0.9538398692810456
15,8,8,0.9538398692810456
8,7,11,0.9473039215686274
10,8,6,0.9538398692810456
10,12,3,0.9607843137254902
8,7,10,0.9473039215686274
15,12,4,0.9607843137254902
12,10,4,0.9607843137254902
8,5,3,0.9607843137254902
16,8,10,0.9473039215686274
11,11,4,0.9607843137254902
16,8,8,0.9538398692810456
11,8,7,0.9538398692810456
14,9,8,0.9538398692810456
15,8,7,0.9538398692810456
6,6,12,0.9473039215686274
1,2,1,0.9603758169934641
20,7,3,0.9607843137254902
10,7,8,0.9538398692810456
11,15,1,0.9603758169934641
15,12,7,0.9538398692810456
13,6,5,0.9607843137254902
16,10,3,0.9607843137254902
11,12,4,0.9607843137254902
15,9,1,0.9603758169934641
12,6,3,0.9607843137254902
6,13,1,0.960375816993464
3,16,1,0.960375816993464
14,8,1,0.960375816993464
8,19,1,0.960375816993464
11,15,8,0.9538398692810456
10,13,6,0.9538398692810456
12,13,1,0.960375816993464
6,12,1,0.960375816993464
9,9,1,0.960375816993464
